review_rank,keep_code,noise_code,category_code,confidence_code,note_code,company,symbol,event_date,primary_category,title,evidence_to_check,review_reason,suggested_action,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,overlap_event_count_p0_p20,split,default_model_scope,analysis_group_id
11,,,,,,移为通信,300590,2020-10-17,其他,关于公司董事会换届选举的公告,关于公司董事会换届选举的公告 || 关于公司董事会换届选举的公告 || 第二届监事会第二十八次会议决议公告 || 关于选举产生第三届监事会职工代表监事的公告 || 第二届董事会第二十九次会议决议公告 || 独立董事候选人声明(1) || 独立董事关于第二届董事会第二十九次会议相关事项的独立意见,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2523590915899382,15.788391125821718,17,train,audit_or_aux,300590|2020-10-17|其他
12,,,,,,移为通信,300590,2021-12-17,其他,关于完成工商变更登记并换发营业执照的公告,关于完成工商变更登记并换发营业执照的公告 || 关于完成工商变更登记并换发营业执照的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2372158142842622,17.085483451177,3,train,audit_or_aux,300590|2021-12-17|其他
13,,,,,,移为通信,300590,2020-12-18,其他,关于召开公司2021年第一次临时股东大会的通知,关于召开公司2021年第一次临时股东大会的通知 || 关于召开公司2021年第一次临时股东大会的通知 || 独立董事关于第三届董事会第三次会议相关事项的独立意见 || 国信证券股份有限公司关于公司2020年现场检查报告 || 第三届监事会第二次会议决议公告 || 第三届董事会第三次会议决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2420984302889839,16.587445942883566,8,train,audit_or_aux,300590|2020-12-18|其他
14,,,,,,移为通信,300590,2026-03-30,其他,第四届董事会第二十二次会议决议公告,第四届董事会第二十二次会议决议公告 || 第四届董事会第二十二次会议决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2656730430368563,12.47630825500584,15,test,audit_or_aux,300590|2026-03-30|其他
15,,,,,,移为通信,300590,2020-12-10,其他,关于完成工商变更登记并换发营业执照的公告,关于完成工商变更登记并换发营业执照的公告 || 关于完成工商变更登记并换发营业执照的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.213956044479058,16.706680562205253,5,train,audit_or_aux,300590|2020-12-10|其他
16,,,,,,移为通信,300590,2024-10-09,其他,2024年第二次临时股东大会决议公告,2024年第二次临时股东大会决议公告 || 2024年第二次临时股东大会决议公告 || 上海市锦天城律师事务所关于公司2024年第二次临时股东大会法律意见书,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.2027009516975819,-17.28975690470194,10,test,audit_or_aux,300590|2024-10-09|其他
17,,,,,,移为通信,300590,2024-04-03,其他,关于香港全资子公司增资完成的公告,关于香港全资子公司增资完成的公告 || 关于香港全资子公司增资完成的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2579720846303943,11.262433852440775,15,test,audit_or_aux,300590|2024-04-03|其他
18,,,,,,移为通信,300590,2026-03-27,其他,2026年第二次临时股东会决议公告,2026年第二次临时股东会决议公告 || 2026年第二次临时股东会决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2513494569608673,11.664528861782824,16,test,audit_or_aux,300590|2026-03-27|其他
19,,,,,,移为通信,300590,2021-10-20,其他,关于全资子公司完成增资工商变更登记的公告,关于全资子公司完成增资工商变更登记的公告 || 关于全资子公司完成增资工商变更登记的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.1988470502826539,-15.401326986877704,8,train,audit_or_aux,300590|2021-10-20|其他
20,,,,,,移为通信,300590,2024-03-29,其他,第四届监事会第二次会议决议公告,第四届监事会第二次会议决议公告 || 第四届监事会第二次会议决议公告 || 第四届董事会第三次会议决议公告 || 关于增加闲置自有资金进行现金管理额度的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.2542847870279122,10.35621935483127,16,test,audit_or_aux,300590|2024-03-29|其他
21,,,,,,移为通信,300590,2026-04-23,其他,关于“质量回报双提升”行动方案的进展公告,关于“质量回报双提升”行动方案的进展公告 || 关于“质量回报双提升”行动方案的进展公告 || 关于开展外汇套期保值业务的可行性分析报告 || 第四届董事会第二十三次会议决议公告 || 2025年度董事会工作报告 || 独立董事2025年度述职报告(王欣) || 2025年度会计师事务所履职评估及董事会审计委员会履行监督职责情况的报告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.226539759364712,11.87409866909382,24,test,audit_or_aux,300590|2026-04-23|其他
22,,,,,,移为通信,300590,2020-11-18,其他,关于公司申请向特定对象发行股票的发行注册环节反馈意见落实函回复报告,关于公司申请向特定对象发行股票的发行注册环节反馈意见落实函回复报告 || 关于公司申请向特定对象发行股票的发行注册环节反馈意见落实函回复报告 || 上海市锦天城律师事务所关于公司创业板向特定对象发行A股股票之补充法律意见书(三) || 关于公司申请向特定对象发行股票的《发行注册环节反馈意见落实函》的回复公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.1760221460108349,-17.17392163968,4,train,audit_or_aux,300590|2020-11-18|其他
23,,,,,,锐明技术,2970,2019-12-17,其他,关于“N锐明”盘中临时停牌的公告,关于“N锐明”盘中临时停牌的公告 || 关于“N锐明”盘中临时停牌的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,1.7178055475668672,68.24693283839999,9,train,audit_or_aux,002970|2019-12-17|其他
24,,,,,,移远通信,603236,2019-07-16,其他,关于N移远(603236)盘中临时停牌的公告,关于N移远(603236)盘中临时停牌的公告 || 关于N移远(603236)盘中临时停牌的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,1.081987582609571,66.41922951168961,9,train,audit_or_aux,603236|2019-07-16|其他
25,,,,,,移为通信,300590,2020-10-23,其他,关于公司申请向特定对象发行股票的审核中心意见落实函回复报告,关于公司申请向特定对象发行股票的审核中心意见落实函回复报告 || 关于公司申请向特定对象发行股票的审核中心意见落实函回复报告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,0.1970104815064985,13.83971223927523,12,train,audit_or_aux,300590|2020-10-23|其他
26,,,,,,高新兴,300098,2015-06-12,其他,关于公司股票交易异常波动公告(2015-6-12),关于公司股票交易异常波动公告(2015-6-12) || 关于公司股票交易异常波动公告(2015-6-12),top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.7116606954409768,87.32362619172,21,train,audit_or_aux,300098|2015-06-12|其他
27,,,,,,高新兴,300098,2015-06-11,其他,关于公司第三届董事第二十一次会议决议公告的更正公告,关于公司第三届董事第二十一次会议决议公告的更正公告 || 关于公司第三届董事第二十一次会议决议公告的更正公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7118001405972393,75.47411679444,22,train,audit_or_aux,300098|2015-06-11|其他
28,,,,,,高新兴,300098,2015-05-01,其他,关于公司子公司讯美电子完成工商变更登记的公告,关于公司子公司讯美电子完成工商变更登记的公告 || 关于公司子公司讯美电子完成工商变更登记的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-05-01|其他
29,,,,,,高新兴,300098,2015-04-25,其他,2014年年度股东大会的法律意见书,2014年年度股东大会的法律意见书 || 2014年年度股东大会的法律意见书 || 2014年度股东大会决议公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-04-25|其他
30,,,,,,高新兴,300098,2015-05-28,其他,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明 || 关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明 || 西藏山南硅谷天堂昌吉投资管理有限公司及其一致行动人简式权益变动报告书 || 简式权益变动报告书(二) || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易相关事项事前认可意见 || 独立董事对相关事项发表的独立意见(2015/5/28) || 关于提供信息真实、准确、完整的承诺(三),top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-05-28|其他
31,,,,,,高新兴,300098,2015-04-01,其他,募集资金存放与使用情况的鉴证报告,募集资金存放与使用情况的鉴证报告 || 募集资金存放与使用情况的鉴证报告 || 监事会2014年度工作报告 || 恒泰长财证券有限责任公司关于公司完成募集资金投资项目建设并将结余募集资金用于永久补充公司流动资金相关事宜之专项意见 || 控股股东及其他关联方资金占用情况专项审核报告 || 恒泰长财证券有限责任公司关于公司2014年度募集资金存放与使用情况的专项核查报告 || 关于召开2014年度股东大会通知的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-04-01|其他
32,,,,,,高新兴,300098,2015-03-13,其他,公司章程(2015年3月),公司章程(2015年3月) || 公司章程(2015年3月) || 独立董事对相关事项的独立意见 || 关于召开2015年第一次临时股东大会通知的公告 || 第三届监事会第十一次会议决议的公告 || 第三届董事会第十六次会议决议的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-03-13|其他
33,,,,,,高新兴,300098,2015-06-09,其他,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见 || 独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见 || 广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之独立财务顾问报告(修订稿) || 广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易的补充法律意见书之一 || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易事项之独立意见 || 关于召开2015年第二次临时股东大会通知的公告 || 第三届监事会第十六次会议决议的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-06-09|其他
34,,,,,,高新兴,300098,2015-02-13,其他,关于重大事项停牌公告,关于重大事项停牌公告 || 关于重大事项停牌公告 || 关于高新兴科技集团股份有限公司股票临时停牌的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,排除默认建模，保留为审计/案例,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-02-13|其他
35,,,,,,高新兴,300098,2015-03-18,其他,讯美电子科技有限公司审计报告,讯美电子科技有限公司审计报告 || 讯美电子科技有限公司审计报告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-03-18|其他
36,,,,,,高新兴,300098,2015-04-18,其他,第三届董事会第十八次会议决议的公告,第三届董事会第十八次会议决议的公告 || 第三届董事会第十八次会议决议的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-04-18|其他
37,,,,,,高新兴,300098,2015-03-31,其他,2015年第一次临时股东大会决议公告,2015年第一次临时股东大会决议公告 || 2015年第一次临时股东大会决议公告 || 临时股东大会的法律意见书,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-03-31|其他
38,,,,,,高新兴,300098,2015-03-26,其他,关于召开2015年第一次临时股东大会的提示性公告,关于召开2015年第一次临时股东大会的提示性公告 || 关于召开2015年第一次临时股东大会的提示性公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-03-26|其他
39,,,,,,高新兴,300098,2015-05-29,其他,关于取消召开2015年第二次临时股东大会通知的公告,关于取消召开2015年第二次临时股东大会通知的公告 || 关于取消召开2015年第二次临时股东大会通知的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-05-29|其他
40,,,,,,高新兴,300098,2015-05-09,其他,第三届董事会第十九次会议决议的公告,第三届董事会第十九次会议决议的公告 || 第三届董事会第十九次会议决议的公告 || 第三届监事会第十四次会议决议的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-05-09|其他
41,,,,,,高新兴,300098,2015-04-22,其他,关于召开2014年度股东大会的提示性公告,关于召开2014年度股东大会的提示性公告 || 关于召开2014年度股东大会的提示性公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7755235307422741,63.14439995541001,72,train,audit_or_aux,300098|2015-04-22|其他
42,,,,,,移为通信,300590,2017-04-18,其他,独立董事关于第一届董事会第十九次会议相关事项的独立意见,独立董事关于第一届董事会第十九次会议相关事项的独立意见 || 独立董事关于第一届董事会第十九次会议相关事项的独立意见 || 资金占用情况的专项审计说明(2016年度) || 独立董事2016年度述职报告(张天西) || 国信证券股份有限公司关于公司首次公开发行股票2016年度跟踪报告 || 国信证券股份有限公司关于公司使用募集资金向全资子公司进行增资之专项核查意见 || 国信证券股份有限公司关于公司2016年度内部控制自我评价报告的核查意见,top_negative_label|category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.2892560361797897,-8.354042666666668,9,train,audit_or_aux,300590|2017-04-18|其他
43,,,,,,广和通,300638,2025-01-06,其他,广东信达律师事务所关于深圳市广和通无线股份有限公司2025年第一次临时股东大会法律意见书,广东信达律师事务所关于深圳市广和通无线股份有限公司2025年第一次临时股东大会法律意见书 || 广东信达律师事务所关于深圳市广和通无线股份有限公司2025年第一次临时股东大会法律意见书 || 2025年第一次临时股东大会决议公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.6550743374106462,60.86534964887685,3,test,audit_or_aux,300638|2025-01-06|其他
44,,,,,,移远通信,603236,2021-01-07,其他,:关于为全资子公司提供担保的公告,:关于为全资子公司提供担保的公告 || :关于为全资子公司提供担保的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4475464508341464,88.90182499860482,12,train,audit_or_aux,603236|2021-01-07|其他
45,,,,,,广和通,300638,2021-06-16,其他,关于选举产生第三届监事会职工代表监事的公告,关于选举产生第三届监事会职工代表监事的公告 || 关于选举产生第三届监事会职工代表监事的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4724697366475044,65.27645062813134,12,train,audit_or_aux,300638|2021-06-16|其他
46,,,,,,高新兴,300098,2015-06-16,其他,关于公司股票交易异常波动公告(2015-6-16),关于公司股票交易异常波动公告(2015-6-16) || 关于公司股票交易异常波动公告(2015-6-16),top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.42517161469079,91.38763172833998,20,train,audit_or_aux,300098|2015-06-16|其他
47,,,,,,锐明技术,2970,2019-12-23,其他,关于股票交易异常波动的公告(2019/12/23),关于股票交易异常波动的公告(2019/12/23) || 关于股票交易异常波动的公告(2019/12/23),top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.9250802235764248,41.26945043951999,7,train,audit_or_aux,002970|2019-12-23|其他
48,,,,,,广和通,300638,2021-06-22,其他,第三届董事会第一次会议决议公告,第三届董事会第一次会议决议公告 || 第三届董事会第一次会议决议公告 || 关于聘任高级管理人员、董事会秘书及证券事务代表的公告 || 第三届监事会第一次会议决议公告 || 独立董事关于第三届董事会第一次会议相关事项的独立意见,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4008685519643965,69.35554729723185,10,train,audit_or_aux,300638|2021-06-22|其他
49,,,,,,高新兴,300098,2016-07-05,其他,关于控股子公司挂牌新三板的公告,关于控股子公司挂牌新三板的公告 || 关于控股子公司挂牌新三板的公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.3801739130458743,-65.73797498615599,7,train,audit_or_aux,300098|2016-07-05|其他
50,,,,,,广和通,300638,2021-06-21,其他,2021年第二次临时股东大会决议公告,2021年第二次临时股东大会决议公告 || 2021年第二次临时股东大会决议公告 || 关于监事会完成换届选举的公告 || 关于董事会完成换届选举的公告 || 2021年第二次临时股东大会法律意见书,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.3681106365384147,70.33779361288259,11,train,audit_or_aux,300638|2021-06-21|其他
51,,,,,,高新兴,300098,2020-02-15,其他,广东广信君达律师事务所关于公司第二期股票期权激励计划(草案)的法律意见书,广东广信君达律师事务所关于公司第二期股票期权激励计划(草案)的法律意见书 || 广东广信君达律师事务所关于公司第二期股票期权激励计划(草案)的法律意见书 || 独立董事对相关事项发表的独立意见 || 第五届监事会第三次会议决议的公告 || 第五届董事会第四次会议决议的公告 || 关于召开2020年第二次临时股东大会通知的公告 || 独立董事公开征集委托投票权报告书,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.5503319461150539,42.182616463311135,12,train,audit_or_aux,300098|2020-02-15|其他
52,,,,,,高新兴,300098,2015-01-31,其他,关于更换保荐代表人的公告,关于更换保荐代表人的公告 || 关于更换保荐代表人的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.7473546282144727,39.389426546148,64,train,audit_or_aux,300098|2015-01-31|其他
53,,,,,,日海智能,2313,2015-06-16,其他,日海通讯:第三届董事会第二十一次会议决议公告,日海通讯:第三届董事会第二十一次会议决议公告 || 日海通讯:第三届董事会第二十一次会议决议公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.42517161469079,-53.05750319999999,7,train,audit_or_aux,002313|2015-06-16|其他
54,,,,,,移为通信,300590,2026-04-07,其他,请问截至2026年3月31日，公司最新股东数是多少？,请问截至2026年3月31日，公司最新股东数是多少？ || 请问截至2026年3月31日，公司最新股东数是多少？,category_other|subject_company|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.2248828858570698,9.4718209471839,16,test,audit_or_aux,300590|2026-04-07|其他
55,,,,,,移为通信,300590,2021-03-25,其他,关于公司监事亲属短线交易的公告,关于公司监事亲属短线交易的公告 || 关于公司监事亲属短线交易的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.1910020049223141,-11.650399085112811,3,train,audit_or_aux,300590|2021-03-25|其他
56,,,,,,广和通,300638,2020-07-08,其他,关于使用部分自有闲置资金进行现金管理的进展公告,关于使用部分自有闲置资金进行现金管理的进展公告 || 关于使用部分自有闲置资金进行现金管理的进展公告,extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.3859410951980204,54.88205098773054,15,train,audit_or_aux,300638|2020-07-08|其他
57,,,,,,美格智能,2881,2025-02-13,其他,股票交易异常波动暨严重异常波动公告,股票交易异常波动暨严重异常波动公告 || 股票交易异常波动暨严重异常波动公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,-0.3099573403404324,-64.50241753320496,5,test,audit_or_aux,002881|2025-02-13|其他
58,,,,,,移远通信,603236,2023-04-25,其他,2022年度独立董事述职报告,2022年度独立董事述职报告 || 2022年度独立董事述职报告 || 独立董事候选人声明(吴剑敏) || 关于修订《公司章程》的公告 || 关于续聘会计师事务所的公告 || 第三届监事会第十次会议决议公告 || 独立董事候选人声明(刘美玉),top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.3058366334211505,-71.24334083222303,14,valid,audit_or_aux,603236|2023-04-25|其他
59,,,,,,移为通信,300590,2021-10-25,其他,第三届董事会第十四次会议决议公告,第三届董事会第十四次会议决议公告 || 第三届董事会第十四次会议决议公告 || 独立董事关于第三届董事会第十四次会议相关事项的独立意见 || 第三届监事会第十二次会议决议公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.178252254603184,-12.502656103304025,7,train,audit_or_aux,300590|2021-10-25|其他
60,,,,,,移远通信,603236,2019-07-19,其他,:移远通信股票交易异常波动公告(2019/07/19),:移远通信股票交易异常波动公告(2019/07/19) || :移远通信股票交易异常波动公告(2019/07/19),top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,0.6165463748208112,32.280570373324004,8,train,audit_or_aux,603236|2019-07-19|其他
61,,,,,,高新兴,300098,2016-07-06,其他,关于使用部分暂时闲置募集资金进行现金管理的实施公告,关于使用部分暂时闲置募集资金进行现金管理的实施公告 || 关于使用部分暂时闲置募集资金进行现金管理的实施公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,-0.3164388548103009,-58.97899555209598,6,train,audit_or_aux,300098|2016-07-06|其他
62,,,,,,移远通信,603236,2019-08-29,其他,:移远通信关于使用募集资金向全资子公司增资的公告,:移远通信关于使用募集资金向全资子公司增资的公告 || :移远通信关于使用募集资金向全资子公司增资的公告 || :移远通信第二届董事会第十次会议决议公告 || :移远通信《信息披露暂缓与豁免业务管理制度》 || :移远通信关于召开2019年第三次临时股东大会的通知 || :移远通信独立董事关于第二届董事会第十次会议相关事项的独立意见 || :移远通信第二届监事会第五次会议决议公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.4194401093997624,41.98743771505921,9,train,audit_or_aux,603236|2019-08-29|其他
63,,,,,,移远通信,603236,2025-01-22,其他,股票交易异常波动公告,股票交易异常波动公告 || 股票交易异常波动公告,top_negative_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20|not_default_training,排除默认建模，保留为审计/案例,-0.3017960967806821,-66.11496812861506,5,test,audit_or_aux,603236|2025-01-22|其他
64,,,,,,移为通信,300590,2024-04-22,其他,董事会决议公告,董事会决议公告 || 董事会决议公告 || 关于对外投资设立境外全资子公司的公告 || 关于开展外汇套期保值业务的可行性分析报告 || 2023年度募集资金存放与使用情况专项报告 || 监事会决议公告 || 关于续聘会计师事务所的公告,category_other|subject_company|overlap_dirty_p20,优先人工重分类,-0.1943160429563498,-10.670496941775005,11,test,audit_or_aux,300590|2024-04-22|其他
65,,,,,,高新兴,300098,2024-05-21,其他,关于召开2024年第一次临时股东大会通知的公告,关于召开2024年第一次临时股东大会通知的公告 || 关于召开2024年第一次临时股东大会通知的公告 || 关于公司监事离任暨补选公司第六届非职工代表监事的公告 || 第六届监事会第十一次会议决议的公告 || 第六届董事会独立董事专门会议第二次会议决议 || 第六届董事会第十七次会议决议的公告 || 关于拟对外出租部分闲置房产暨关联交易的公告,top_positive_label|extreme_relative_label|large_mv_impact|category_other|overlap_dirty_p20,优先人工重分类,0.5558423189043927,27.2835709807296,7,test,audit_or_aux,300098|2024-05-21|其他
