dataset,company,ts_code,symbol,rows,first_date,last_date,expected_start_date,expected_end_date,date_parse_rate,source_known_limit,completeness_level,coverage_status,limitation,recommendation,source_path
research_report,移远通信,603236.SH,603236,154,2019-06-26,2025-12-31,2019-07-16,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,高新兴,300098.SZ,300098,102,2017-01-04,2021-07-15,2010-07-28,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,广和通,300638.SZ,300638,166,2017-07-23,2026-06-03,2017-04-13,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,日海智能,002313.SZ,002313,8,2017-10-23,2019-01-07,2009-12-03,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,锐明技术,002970.SZ,002970,27,2019-11-25,2026-04-03,2019-12-17,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,有方科技,688159.SH,688159,2,2022-02-07,2023-07-03,2020-01-23,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,不完整/需补采,弱覆盖,研报数量较少，卖方关注度横向比较可能失真,补充其他研报源或仅作方向性参考,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,美格智能,002881.SZ,002881,76,2017-05-31,2026-06-03,2017-06-22,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
research_report,博实结,301608.SZ,301608,3,2024-07-13,2025-04-23,2024-08-01,2026-06-13,1.0,东方财富研报可支撑卖方关注度第一版，但不代表全市场全部研报。,不完整/需补采,弱覆盖,研报数量较少，卖方关注度横向比较可能失真,补充其他研报源或仅作方向性参考,market-impact-study/data/raw/akshare/eastmoney_research_report/all_companies.csv
stock_news,移为通信,300590.SZ,300590,10,2026-04-23,2026-06-08,2017-01-11,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,移远通信,603236.SH,603236,10,2026-04-24,2026-06-10,2019-07-16,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,高新兴,300098.SZ,300098,10,2026-04-29,2026-06-09,2010-07-28,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,广和通,300638.SZ,300638,10,2026-04-24,2026-06-12,2017-04-13,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,日海智能,002313.SZ,002313,10,2026-04-23,2026-05-11,2009-12-03,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,锐明技术,002970.SZ,002970,10,2026-05-06,2026-06-10,2019-12-17,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,有方科技,688159.SH,688159,10,2026-04-30,2026-06-12,2020-01-23,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,美格智能,002881.SZ,002881,10,2026-04-30,2026-06-10,2017-06-22,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
stock_news,博实结,301608.SZ,301608,10,2026-05-19,2026-06-12,2024-08-01,2026-06-13,1.0,东方财富个股新闻当前仅为近期少量样本，只能作为媒体传播辅助。,不完整/需补采,部分覆盖,当前采集更偏近期，不适合声称覆盖上市以来全量信息,如用于长期对比，需补采历史调研/问答/新闻,market-impact-study/data/raw/akshare/eastmoney_stock_news/all_companies.csv
individual_notice,移为通信,300590.SZ,300590,1573,2015-06-26,2026-05-18,2017-01-11,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,移远通信,603236.SH,603236,857,2017-12-29,2026-05-20,2019-07-16,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,高新兴,300098.SZ,300098,2870,2010-01-25,2026-05-13,2010-07-28,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,广和通,300638.SZ,300638,2080,2015-07-03,2026-05-22,2017-04-13,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,日海智能,002313.SZ,002313,2266,2009-11-16,2026-05-19,2009-12-03,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,锐明技术,002970.SZ,002970,1151,2016-06-17,2026-05-20,2019-12-17,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,有方科技,688159.SH,688159,1076,2017-06-16,2026-05-16,2020-01-23,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,美格智能,002881.SZ,002881,1263,2016-04-01,2026-05-23,2017-06-22,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
individual_notice,博实结,301608.SZ,301608,344,2022-03-31,2026-05-13,2024-08-01,2026-06-13,1.0,东方财富公告适合正式披露主线，但仍需结合 PDF/巨潮交叉校验。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/eastmoney_individual_notice/all_companies.csv
cninfo_disclosure_report,移为通信,300590.SZ,300590,0,,,2017-01-11,2026-06-13,0.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,不完整/需补采,缺失,该公司在当前汇总表无记录，不能判断该类信息是否完整,补采交易所/数据源对应公司数据,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,移远通信,603236.SH,603236,826,2019-06-26,2026-05-19,2019-07-16,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,高新兴,300098.SZ,300098,2780,2010-07-08,2026-05-13,2010-07-28,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,广和通,300638.SZ,300638,1964,2017-03-23,2026-05-22,2017-04-13,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,日海智能,002313.SZ,002313,2265,2009-11-16,2026-05-19,2009-12-03,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,锐明技术,002970.SZ,002970,1067,2019-11-25,2026-05-20,2019-12-17,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,有方科技,688159.SH,688159,968,2020-01-06,2026-05-16,2020-01-23,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,美格智能,002881.SZ,002881,1241,2017-05-31,2026-05-23,2017-06-22,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
cninfo_disclosure_report,博实结,301608.SZ,301608,236,2024-07-12,2026-05-13,2024-08-01,2026-06-13,1.0,巨潮信披适合正式披露主线，但公告正文/PDF挂接率需另看。,第一版可用/非全量承诺,第一版可用,记录非空且时间跨度可支撑第一版描述，但不等于信息全量,进入报告时仍需标注来源口径,market-impact-study/data/raw/akshare/cninfo_disclosure_report/all_companies.csv
