analysis_group_id,event_id,company,ts_code,symbol,event_date,aligned_trade_date,pre_trade_date,source_type,source_types,primary_category,category_tags,title,summary,group_titles_sample,source_url,pdf_url,local_pdf_path,has_pdf,source_count,group_event_count,group_source_count,group_evidence_count,car_status,is_subject_company,is_peer_event,is_pre_listing,is_ipo_listing_related,is_market_trading_related,capital_action_subtype,capital_action_subtype_hits,overlap_event_count_p0_p5,overlap_event_count_p0_p20,overlap_event_count_p0_p60,overlap_category_count_p0_p20,overlap_categories_p0_p20,is_overlap_clean_p0_p5,is_overlap_clean_p0_p20,is_overlap_clean_p0_p60
300098|2015-05-28|资本动作,e619a882edbcc8a1,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作|客户/订单,易方达资产高新兴1号资产管理计划资产管理合同,,易方达资产高新兴1号资产管理计划资产管理合同 || 第二期员工持股计划(草案)摘要(非公开发行方式认购) || 第二期员工持股计划(草案)(非公开发行方式认购) || 易方达资产高新兴2号资产管理计划资产管理合同 || 拟发行股份收购股权涉及杭州创联电子技术有限公司股东全部权益资产评估报告书 || 广东广信君达律师事务所关于公司实施高新兴科技集团股份有限公司—第二期员工持股计划的法律意见书,https://data.eastmoney.com/notices/detail/300098/AN201505270009756477.html,,,0,1,14,1,14,ok,0,1,0,0,False,复合资本动作,股权激励/员工持股|并购重组/资产交易|定增/再融资,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-13|资本动作,d5742501a9f481a0,高新兴,300098.SZ,300098,2015-06-13,2015-06-15,2015-06-12,announcement,announcement,资本动作,资本动作,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,https://data.eastmoney.com/notices/detail/300098/AN201506120009915025.html,,,0,1,1,1,1,ok,0,1,0,0,False,股权激励/员工持股,股权激励/员工持股,6,20,38,3,其他|客户/订单|资本动作,False,False,False
300638|2017-04-20|其他,d64fb101f910b05c,广和通,300638.SZ,300638,2017-04-20,2017-04-20,2017-04-19,announcement,announcement,其他,,股票交易异常波动公告(2017/4/20),,股票交易异常波动公告(2017/4/20),https://data.eastmoney.com/notices/detail/300638/AN201704190513755123.html,,,0,1,1,1,1,ok,0,1,0,0,True,,,2,9,21,2,业绩信号|其他,False,False,False
300098|2015-05-28|其他,82edd8402df198ed,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,2015-02-12,announcement,announcement,其他,,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明 || 西藏山南硅谷天堂昌吉投资管理有限公司及其一致行动人简式权益变动报告书 || 简式权益变动报告书(二) || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易相关事项事前认可意见 || 独立董事对相关事项发表的独立意见(2015/5/28) || 关于提供信息真实、准确、完整的承诺(三),https://data.eastmoney.com/notices/detail/300098/AN201505270009756465.html,,,0,1,21,1,21,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-01|其他,a4befd6d88b14a40,高新兴,300098.SZ,300098,2015-04-01,2015-06-09,2015-02-12,announcement,announcement,其他,,募集资金存放与使用情况的鉴证报告,,募集资金存放与使用情况的鉴证报告 || 监事会2014年度工作报告 || 恒泰长财证券有限责任公司关于公司完成募集资金投资项目建设并将结余募集资金用于永久补充公司流动资金相关事宜之专项意见 || 控股股东及其他关联方资金占用情况专项审核报告 || 恒泰长财证券有限责任公司关于公司2014年度募集资金存放与使用情况的专项核查报告 || 关于召开2014年度股东大会通知的公告,https://data.eastmoney.com/notices/detail/300098/AN201503310009026383.html,,,0,1,16,1,16,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-02-28|业绩信号,91e43c50b80841ce,高新兴,300098.SZ,300098,2015-02-28,2015-06-09,2015-02-12,express,express,业绩信号,业绩信号,业绩快报 营收=737332000.0 净利润=132958100.0,,业绩快报 营收=737332000.0 净利润=132958100.0 || 2014年度业绩快报,,,,0,1,2,1,2,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-09|其他,cd82f87f1c36cbc8,高新兴,300098.SZ,300098,2015-06-09,2015-06-09,2015-02-12,announcement,announcement,其他,,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见 || 广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之独立财务顾问报告(修订稿) || 广东广信君达律师事务所关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易的补充法律意见书之一 || 独立董事关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易事项之独立意见 || 关于召开2015年第二次临时股东大会通知的公告 || 第三届监事会第十六次会议决议的公告,https://data.eastmoney.com/notices/detail/300098/AN201506080009867500.html,,,0,1,9,1,9,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-27|业绩信号,8b5ebba3757f95cd,高新兴,300098.SZ,300098,2015-04-27,2015-06-09,2015-02-12,forecast,forecast,业绩信号,业绩信号,略增 预计净利润3800-4300万,,略增 预计净利润3800-4300万 || 2015年第一季度报告披露提示性公告 || 2015年第一季度报告全文,,,,0,1,3,1,3,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-02|业绩信号,c4dbf9a526271590,高新兴,300098.SZ,300098,2015-04-02,2015-06-09,2015-02-12,forecast,forecast,业绩信号,业绩信号,略增 预计净利润2000-2500万,,略增 预计净利润2000-2500万 || 2015年第一季度业绩预告,,,,0,1,2,1,2,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
002970|2019-12-23|其他,f083be839fafcdf1,锐明技术,002970.SZ,2970,2019-12-23,2019-12-23,2019-12-20,announcement,announcement,其他,,关于股票交易异常波动的公告(2019/12/23),,关于股票交易异常波动的公告(2019/12/23),https://data.eastmoney.com/notices/detail/002970/AN201912221372415449.html,,,0,1,1,1,1,ok,0,1,0,0,True,,,2,7,11,3,其他|政策/行业|管理层/投关信号,False,False,False
300098|2015-05-09|资本动作,cd144358b5f3560d,高新兴,300098.SZ,300098,2015-05-09,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书,,广东广信君达律师事务所关于公司股权激励计划限制性股票解锁事宜的法律意见书 || 关于股权激励计划第二个解锁期股票解锁的公告 || 独立董事关于公司股权激励计划第二个解锁期条件成就可解锁的独立意见,https://data.eastmoney.com/notices/detail/300098/AN201505080009556765.html,,,0,1,3,1,3,ok,0,1,0,0,False,股权激励/员工持股,股权激励/员工持股,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-17|资本动作,bfb9dc7c7603dbb2,高新兴,300098.SZ,300098,2015-04-17,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,关于控股股东进行质押式回购交易及股权解押的公告,,关于控股股东进行质押式回购交易及股权解押的公告 || 重大资产重组停牌期间进展公告(2015-4-17),https://data.eastmoney.com/notices/detail/300098/AN201504160009230066.html,,,0,1,2,1,2,ok,0,1,0,0,False,复合资本动作,并购重组/资产交易|股权质押/解押,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-09|风险事件,91aa523dfd92734c,高新兴,300098.SZ,300098,2015-06-09,2015-06-09,2015-02-12,announcement,announcement,风险事件,风险事件|资本动作,发行股份及支付现金购买资产并募集配套资金暨关联交易问询函的回复,,发行股份及支付现金购买资产并募集配套资金暨关联交易问询函的回复 || 广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易问询函的回复,https://data.eastmoney.com/notices/detail/300098/AN201506080009867499.html,,,0,1,2,1,2,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-13|其他,a6581e110b7e6d25,高新兴,300098.SZ,300098,2015-03-13,2015-06-09,2015-02-12,announcement,announcement,其他,,公司章程(2015年3月),,公司章程(2015年3月) || 独立董事对相关事项的独立意见 || 关于召开2015年第一次临时股东大会通知的公告 || 第三届监事会第十一次会议决议的公告 || 第三届董事会第十六次会议决议的公告,https://data.eastmoney.com/notices/detail/300098/AN201503120008743881.html,,,0,1,5,1,5,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-01|业绩信号,3a6797d3e18e67c0,高新兴,300098.SZ,300098,2015-04-01,2015-06-09,2015-02-12,announcement,announcement,业绩信号,业绩信号,2014年年度报告摘要,,2014年年度报告摘要 || 2014年年度报告 || 2014年度报告披露提示性公告,https://data.eastmoney.com/notices/detail/300098/AN201503310009026404.html,,,0,1,3,1,3,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-09|资本动作,7382aecaeeaed85c,高新兴,300098.SZ,300098,2015-06-09,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(草案)(修订稿),,发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(草案)(修订稿) || 关于重大资产重组事项股票复牌的提示性公告 || 发行股份及支付现金购买资产并募集配套资金暨关联交易报告书摘要(修订稿),https://data.eastmoney.com/notices/detail/300098/AN201506080009867513.html,,,0,1,3,1,3,ok,0,1,0,0,False,复合资本动作,并购重组/资产交易|定增/再融资,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-18|风险事件,49194d52add52345,高新兴,300098.SZ,300098,2015-03-18,2015-06-09,2015-02-12,announcement,announcement,风险事件,风险事件,公司拟编制2014年12月31日合并报表进行减值测试涉及合并讯美电子科技有限公司2014年12月31日会计报表所记载的软件著作权、商誉对应的资产组资产评估报告书,,公司拟编制2014年12月31日合并报表进行减值测试涉及合并讯美电子科技有限公司2014年12月31日会计报表所记载的软件著作权、商誉对应的资产组资产评估报告书,https://data.eastmoney.com/notices/detail/300098/AN201503170008786502.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-04|风险事件,c9fee8b608219e64,高新兴,300098.SZ,300098,2015-06-04,2015-06-09,2015-02-12,announcement,announcement,风险事件,风险事件|资本动作,关于对高新兴科技集团股份有限公司的重组问询函,,关于对高新兴科技集团股份有限公司的重组问询函,https://data.eastmoney.com/notices/detail/300098/AN201605160014854514.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-25|客户/订单,a95d7c135a1aa5e3,高新兴,300098.SZ,300098,2015-04-25,2015-06-09,2015-02-12,announcement,announcement,客户/订单,客户/订单,关于高州市教育局2014年教育创强信息化装备采购项目预中标的提示性公告,,关于高州市教育局2014年教育创强信息化装备采购项目预中标的提示性公告,https://data.eastmoney.com/notices/detail/300098/AN201504240009360271.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-13|风险事件,e2a2d54ecf9ecef3,高新兴,300098.SZ,300098,2015-03-13,2015-06-09,2015-02-12,announcement,announcement,风险事件,风险事件|产品/技术创新,关于受让讯美电子科技有限公司部分股权作为重庆泰克数字技术有限公司、胡永忠支付公司利润承诺补偿款及减值测试补偿款暨关联交易的公告,,关于受让讯美电子科技有限公司部分股权作为重庆泰克数字技术有限公司、胡永忠支付公司利润承诺补偿款及减值测试补偿款暨关联交易的公告,https://data.eastmoney.com/notices/detail/300098/AN201503120008743885.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-28|风险事件,5ed35c1c2decdfbe,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,2015-02-12,announcement,announcement,风险事件,风险事件|资本动作,关于重大资产重组事项的一般风险提示公告,,关于重大资产重组事项的一般风险提示公告,https://data.eastmoney.com/notices/detail/300098/AN201505270009756475.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-13|产品/技术创新,0d1768e9409bbec5,高新兴,300098.SZ,300098,2015-03-13,2015-06-09,2015-02-12,announcement,announcement,产品/技术创新,产品/技术创新,广东广信君达律师事务所关于公司、重庆泰克数字技术有限公司和胡永忠以资抵债的法律意见书,,广东广信君达律师事务所关于公司、重庆泰克数字技术有限公司和胡永忠以资抵债的法律意见书,https://data.eastmoney.com/notices/detail/300098/AN201503120008743877.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-10|资本动作,0250e7ebaece72eb,高新兴,300098.SZ,300098,2015-04-10,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-4-10),,重大资产重组停牌期间进展公告(2015-4-10),https://data.eastmoney.com/notices/detail/300098/AN201504090009143370.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-24|资本动作,730d5dfbab9673a0,高新兴,300098.SZ,300098,2015-04-24,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-4-24),,重大资产重组停牌期间进展公告(2015-4-24),https://data.eastmoney.com/notices/detail/300098/AN201504230009339409.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-04|业绩信号,318578cee8b5c1be,高新兴,300098.SZ,300098,2015-04-04,2015-06-09,2015-02-12,announcement,announcement,业绩信号,业绩信号,关于2014年年度报告的更正公告,,关于2014年年度报告的更正公告,https://data.eastmoney.com/notices/detail/300098/AN201504030009085487.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-27|资本动作,e43759d1d38b8c46,高新兴,300098.SZ,300098,2015-04-27,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,关于重大资产重组延期复牌公告,,关于重大资产重组延期复牌公告,https://data.eastmoney.com/notices/detail/300098/AN201504260009370203.html,,,0,1,1,1,1,ok,0,1,0,0,True,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-06|资本动作,551c4d5add3d2b14,高新兴,300098.SZ,300098,2015-03-06,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-3-6),,重大资产重组停牌期间进展公告(2015-3-6),https://data.eastmoney.com/notices/detail/300098/AN201503050008668262.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-13|资本动作,3a1f05c65923ac79,高新兴,300098.SZ,300098,2015-03-13,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-3-13),,重大资产重组停牌期间进展公告(2015-3-13),https://data.eastmoney.com/notices/detail/300098/AN201503120008743883.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-08|资本动作,cfac7694c776a48a,高新兴,300098.SZ,300098,2015-05-08,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-5-8),,重大资产重组停牌期间进展公告(2015-5-8),https://data.eastmoney.com/notices/detail/300098/AN201505070009538593.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-28|产品/技术创新,7f76c22c17ff13c4,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,2015-02-12,announcement,announcement,产品/技术创新,产品/技术创新,杭州创联电子技术有限公司截至2015年2月28日止2年1期审计报告,,杭州创联电子技术有限公司截至2015年2月28日止2年1期审计报告,https://data.eastmoney.com/notices/detail/300098/AN201505270009756482.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-03-20|资本动作,1179bf7e76388959,高新兴,300098.SZ,300098,2015-03-20,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-3-20),,重大资产重组停牌期间进展公告(2015-3-20),https://data.eastmoney.com/notices/detail/300098/AN201503190008814908.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-01|资本动作,b68c95912e3be9da,高新兴,300098.SZ,300098,2015-04-01,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,分红送转 cash_div=0.05035 proc=实施,,分红送转 cash_div=0.05035 proc=实施,,,,0,1,1,1,1,ok,0,1,0,0,False,分红/权益分派,分红/权益分派,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-29|资本动作,d63f4fa8a68c2054,高新兴,300098.SZ,300098,2015-04-29,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,2014年年度权益分派实施公告,,2014年年度权益分派实施公告,https://data.eastmoney.com/notices/detail/300098/AN201504280009411650.html,,,0,1,1,1,1,ok,0,1,0,0,False,分红/权益分派,分红/权益分派,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-27|资本动作,3c8598917a3b29dc,高新兴,300098.SZ,300098,2015-05-27,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-5-27),,重大资产重组停牌期间进展公告(2015-5-27),https://data.eastmoney.com/notices/detail/300098/AN201505260009743459.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-06-03|资本动作,c33a1dc0409ad1dd,高新兴,300098.SZ,300098,2015-06-03,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-6-3),,重大资产重组停牌期间进展公告(2015-6-3),https://data.eastmoney.com/notices/detail/300098/AN201506020009813675.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-01|资本动作,94a05bba10c7f873,高新兴,300098.SZ,300098,2015-05-01,2015-06-09,2015-02-12,announcement,announcement,资本动作,资本动作,重大资产重组停牌期间进展公告(2015-5-1),,重大资产重组停牌期间进展公告(2015-5-1),https://data.eastmoney.com/notices/detail/300098/AN201504300009449765.html,,,0,1,1,1,1,ok,0,1,0,0,False,并购重组/资产交易,并购重组/资产交易,55,72,92,8,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-05-28|政策/行业,4747e2d767a28bb7,高新兴,300098.SZ,300098,2015-05-28,2015-06-09,2015-02-12,announcement,announcement,政策/行业,政策/行业,广发证券股份有限公司关于公司本次交易产业政策和交易类型之独立财务顾问核查意见,,广发证券股份有限公司关于公司本次交易产业政策和交易类型之独立财务顾问核查意见,https://data.eastmoney.com/notices/detail/300098/AN201505270009756467.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,7,业绩信号|产品/技术创新|其他|客户/订单|管理层/投关信号|资本动作|风险事件,False,False,False
300098|2015-04-01|管理层/投关信号,7739dde1ba270355,高新兴,300098.SZ,300098,2015-04-01,2015-06-09,2015-02-12,announcement,announcement,管理层/投关信号,管理层/投关信号,关于举行2014年度业绩说明会的公告,,关于举行2014年度业绩说明会的公告,https://data.eastmoney.com/notices/detail/300098/AN201503310009026403.html,,,0,1,1,1,1,ok,0,1,0,0,False,,,55,72,92,7,业绩信号|产品/技术创新|其他|客户/订单|政策/行业|资本动作|风险事件,False,False,False
